Category,File,Line,Translation Key,Code Context
Developers,src/app/(dashboard)/developers/webhooks/page.tsx,78,breadcrumb.home,"<Link href=""/"">{t(""breadcrumb.home"")}</Link>"
Developers,src/app/(dashboard)/developers/webhooks/page.tsx,83,breadcrumb.developers,"<BreadcrumbPage>{t(""breadcrumb.developers"")}</BreadcrumbPage>"
Developers,src/app/(dashboard)/developers/webhooks/page.tsx,87,webhooks.title,"<BreadcrumbPage>{t(""webhooks.title"")}</BreadcrumbPage>"
Developers,src/app/(dashboard)/developers/webhooks/page.tsx,94,webhooks.title,"<h2 className=""text-2xl font-bold"">{t(""webhooks.title"")}</h2>"
Developers,src/app/(dashboard)/developers/webhooks/page.tsx,96,webhooks.description,"{t(""webhooks.description"")}"
Developers,src/app/(dashboard)/developers/webhooks/page.tsx,104,webhooks.loading,"<div className=""mt-6 text-center text-sm text-muted-foreground"">{t(""webhooks.loading"")}</div>"
Developers,src/app/(dashboard)/developers/webhooks/page.tsx,110,webhooks.empty_title,"<h2 className=""text-lg font-semibold"">{t(""webhooks.empty_title"")}</h2>"
Developers,src/app/(dashboard)/developers/webhooks/page.tsx,112,webhooks.empty_description,"{t(""webhooks.empty_description"")}"
Other,src/app/(dashboard)/layout.tsx,13,sidebar_state,"const defaultClose = cookieStore.get(""sidebar_state"")?.value === ""false"""
Settings,src/app/(dashboard)/settings/billing/page.tsx,11,billing.title,"<ContentSection title={t(""billing.title"")} desc={t(""billing.description"")}>"
Settings,src/app/(dashboard)/settings/billing/page.tsx,11,billing.description,"<ContentSection title={t(""billing.title"")} desc={t(""billing.description"")}>"
Settings,src/app/(dashboard)/settings/cache/page.tsx,99,page.title,"title={t(""page.title"")}"
Settings,src/app/(dashboard)/settings/cache/page.tsx,100,page.description,"desc={t(""page.description"")}"
Settings,src/app/(dashboard)/settings/cache/page.tsx,115,page.title,"title={t(""page.title"")}"
Settings,src/app/(dashboard)/settings/cache/page.tsx,116,page.description,"desc={t(""page.description"")}"
Settings,src/app/(dashboard)/settings/cache/page.tsx,126,status.label,"<span className=""font-medium"">{t(""status.label"")}</span>"
Settings,src/app/(dashboard)/settings/cache/page.tsx,130,status.connected,"{t(""status.connected"")}"
Settings,src/app/(dashboard)/settings/cache/page.tsx,135,status.disconnected,"{t(""status.disconnected"")}"
Settings,src/app/(dashboard)/settings/cache/page.tsx,140,status.backend,"{t(""status.backend"")}: {health?.backend || 'N/A'}"
Settings,src/app/(dashboard)/settings/cache/page.tsx,152,actions.refresh,"{t(""actions.refresh"")}"
Settings,src/app/(dashboard)/settings/cache/page.tsx,161,actions.clear_cache,"{t(""actions.clear_cache"")}"
Settings,src/app/(dashboard)/settings/cache/page.tsx,171,stats.hits,"<CardTitle className=""text-sm font-medium"">{t(""stats.hits"")}</CardTitle>"
Settings,src/app/(dashboard)/settings/cache/page.tsx,177,stats.hits_description,"{t(""stats.hits_description"")}"
Settings,src/app/(dashboard)/settings/cache/page.tsx,185,stats.misses,"<CardTitle className=""text-sm font-medium"">{t(""stats.misses"")}</CardTitle>"
Settings,src/app/(dashboard)/settings/cache/page.tsx,191,stats.misses_description,"{t(""stats.misses_description"")}"
Settings,src/app/(dashboard)/settings/cache/page.tsx,199,stats.hit_rate,"<CardTitle className=""text-sm font-medium"">{t(""stats.hit_rate"")}</CardTitle>"
Settings,src/app/(dashboard)/settings/cache/page.tsx,205,stats.hit_rate_description,"{t(""stats.hit_rate_description"")}"
Settings,src/app/(dashboard)/settings/cache/page.tsx,213,stats.total_requests,"<CardTitle className=""text-sm font-medium"">{t(""stats.total_requests"")}</CardTitle>"
Settings,src/app/(dashboard)/settings/cache/page.tsx,219,stats.total_requests_description,"{t(""stats.total_requests_description"")}"
Settings,src/app/(dashboard)/settings/cache/page.tsx,228,operations.title,"<CardTitle>{t(""operations.title"")}</CardTitle>"
Settings,src/app/(dashboard)/settings/cache/page.tsx,230,operations.description,"{t(""operations.description"")}"
Settings,src/app/(dashboard)/settings/cache/page.tsx,236,operations.sets,"<div className=""text-sm font-medium text-muted-foreground"">{t(""operations.sets"")}</div>"
Settings,src/app/(dashboard)/settings/cache/page.tsx,240,operations.deletes,"<div className=""text-sm font-medium text-muted-foreground"">{t(""operations.deletes"")}</div>"
Settings,src/app/(dashboard)/settings/cache/page.tsx,244,operations.redis_hits,"<div className=""text-sm font-medium text-muted-foreground"">{t(""operations.redis_hits"")}</div>"
Settings,src/app/(dashboard)/settings/cache/page.tsx,254,recommendations.title,"<CardTitle>{t(""recommendations.title"")}</CardTitle>"
Settings,src/app/(dashboard)/settings/cache/page.tsx,262,recommendations.low_hit_rate,"<p className=""font-medium"">{t(""recommendations.low_hit_rate"")}</p>"
Settings,src/app/(dashboard)/settings/cache/page.tsx,264,recommendations.low_hit_rate_description,"{t(""recommendations.low_hit_rate_description"")}"
Settings,src/app/(dashboard)/settings/cache/page.tsx,273,recommendations.excellent_performance,"<p className=""font-medium"">{t(""recommendations.excellent_performance"")}</p>"
Settings,src/app/(dashboard)/settings/cache/page.tsx,275,recommendations.excellent_performance_description,"{t(""recommendations.excellent_performance_description"")}"
Settings,src/app/(dashboard)/settings/cache/page.tsx,289,dialog.clear.title,"<AlertDialogTitle>{t(""dialog.clear.title"")}</AlertDialogTitle>"
Settings,src/app/(dashboard)/settings/cache/page.tsx,291,dialog.clear.description,"{t(""dialog.clear.description"")}"
Settings,src/app/(dashboard)/settings/cache/page.tsx,295,dialog.clear.cancel,"<AlertDialogCancel>{t(""dialog.clear.cancel"")}</AlertDialogCancel>"
Settings,src/app/(dashboard)/settings/cache/page.tsx,301,dialog.clear.confirming,"{clearing ? t(""dialog.clear.confirming"") : t(""dialog.clear.confirm"")}"
Settings,src/app/(dashboard)/settings/cache/page.tsx,301,dialog.clear.confirm,"{clearing ? t(""dialog.clear.confirming"") : t(""dialog.clear.confirm"")}"
Settings,src/app/(dashboard)/settings/connected-apps/page.tsx,12,connected_apps.title,"title={t(""connected_apps.title"")}"
Settings,src/app/(dashboard)/settings/connected-apps/page.tsx,13,connected_apps.description,"desc={t(""connected_apps.description"")}"
Settings,src/app/(dashboard)/settings/emailing/components/email-template-dialog.tsx,160,",","? values.available_variables.split("","").map((v) => v.trim()).filter(Boolean)"
Settings,src/app/(dashboard)/settings/emailing/components/email-template-dialog.tsx,200,",","const variables = form.watch(""available_variables"")?.split("","").map(v => v.trim()).filter(Boolean) |"
Settings,src/app/(dashboard)/settings/metrics/page.tsx,187,metrics.title,"title={t(""metrics.title"")}"
Settings,src/app/(dashboard)/settings/metrics/page.tsx,188,metrics.description,"desc={t(""metrics.description"")}"
Settings,src/app/(dashboard)/settings/metrics/page.tsx,205,metrics.title,"title={t(""metrics.title"")}"
Settings,src/app/(dashboard)/settings/metrics/page.tsx,206,metrics.description,"desc={t(""metrics.description"")}"
Settings,src/app/(dashboard)/settings/modules/page.tsx,406,modules.title,"title={t(""modules.title"")}"
Settings,src/app/(dashboard)/settings/modules/page.tsx,407,modules.description,"desc={t(""modules.description"")}"
Settings,src/app/(dashboard)/settings/modules/page.tsx,419,modules.title,"title={t(""modules.title"")}"
Settings,src/app/(dashboard)/settings/modules/page.tsx,420,modules.description,"desc={t(""modules.description"")}"
Settings,src/app/(dashboard)/settings/notifications/page.tsx,12,notifications.title,"title={t(""notifications.title"")}"
Settings,src/app/(dashboard)/settings/notifications/page.tsx,13,notifications.description,"desc={t(""notifications.description"")}"
Settings,src/app/(dashboard)/settings/page.tsx,12,general.title,"title={t(""general.title"")}"
Settings,src/app/(dashboard)/settings/page.tsx,13,general.description,"desc={t(""general.description"")}"
Settings,src/app/(dashboard)/settings/plans/page.tsx,12,plans.title,"title={t(""plans.title"")}"
Settings,src/app/(dashboard)/settings/plans/page.tsx,13,plans.description,"desc={t(""plans.description"")}"
Settings,src/app/(dashboard)/settings/profile/components/user-api-key-card.tsx,164,api_key.title,"<CardTitle>{t(""api_key.title"")}</CardTitle>"
Settings,src/app/(dashboard)/settings/profile/components/user-api-key-card.tsx,166,api_key.description,"<CardDescription>{t(""api_key.description"")}</CardDescription>"
Settings,src/app/(dashboard)/settings/profile/components/user-api-key-card.tsx,169,message.loading,"<p className=""text-sm text-muted-foreground"">{t(""message.loading"")}</p>"
Settings,src/app/(dashboard)/settings/profile/components/user-api-key-card.tsx,181,api_key.title,"<CardTitle>{t(""api_key.title"")}</CardTitle>"
Settings,src/app/(dashboard)/settings/profile/components/user-api-key-card.tsx,183,api_key.description,"<CardDescription>{t(""api_key.description"")}</CardDescription>"
Settings,src/app/(dashboard)/settings/profile/components/user-api-key-card.tsx,188,api_key.no_key,"<p className=""text-sm text-muted-foreground"">{t(""api_key.no_key"")}</p>"
Settings,src/app/(dashboard)/settings/profile/components/user-api-key-card.tsx,190,message.loading,"{isGenerating ? t(""message.loading"") : t(""api_key.generate"")}"
Settings,src/app/(dashboard)/settings/profile/components/user-api-key-card.tsx,190,api_key.generate,"{isGenerating ? t(""message.loading"") : t(""api_key.generate"")}"
Settings,src/app/(dashboard)/settings/profile/components/user-api-key-card.tsx,202,api_key.copy,"title={t(""api_key.copy"")}"
Settings,src/app/(dashboard)/settings/profile/components/user-api-key-card.tsx,218,api_key.created_at,"<span>{t(""api_key.created_at"")} :</span>"
Settings,src/app/(dashboard)/settings/profile/components/user-api-key-card.tsx,223,api_key.last_used,"<span>{t(""api_key.last_used"")} :</span>"
Settings,src/app/(dashboard)/settings/profile/components/user-api-key-card.tsx,228,api_key.last_used,"<span>{t(""api_key.last_used"")} :</span>"
Settings,src/app/(dashboard)/settings/profile/components/user-api-key-card.tsx,229,api_key.never_used,"<span className=""font-medium text-muted-foreground"">{t(""api_key.never_used"")}</span>"
Settings,src/app/(dashboard)/settings/profile/components/user-api-key-card.tsx,236,api_key.usage_instructions,"<p className=""text-sm font-medium"">{t(""api_key.usage_instructions"")}</p>"
Settings,src/app/(dashboard)/settings/profile/components/user-api-key-card.tsx,250,api_key.regenerate,"{t(""api_key.regenerate"")}"
Settings,src/app/(dashboard)/settings/profile/components/user-api-key-card.tsx,257,api_key.revoke,"{t(""api_key.revoke"")}"
Settings,src/app/(dashboard)/settings/profile/components/user-api-key-card.tsx,269,api_key.title,"<DialogTitle>{t(""api_key.title"")}</DialogTitle>"
Settings,src/app/(dashboard)/settings/profile/components/user-api-key-card.tsx,274,api_key.warning_title,"<p className=""font-semibold"">{t(""api_key.warning_title"")}</p>"
Settings,src/app/(dashboard)/settings/profile/components/user-api-key-card.tsx,275,api_key.warning_message,"<p>{t(""api_key.warning_message"")}</p>"
Settings,src/app/(dashboard)/settings/profile/components/user-api-key-card.tsx,296,api_key.usage_instructions,"<p className=""text-sm font-medium"">{t(""api_key.usage_instructions"")}</p>"
Settings,src/app/(dashboard)/settings/profile/components/user-api-key-card.tsx,304,button.close,"{t(""button.close"")}"
Settings,src/app/(dashboard)/settings/profile/components/user-api-key-card.tsx,314,api_key.regenerate,"<AlertDialogTitle>{t(""api_key.regenerate"")}</AlertDialogTitle>"
Settings,src/app/(dashboard)/settings/profile/components/user-api-key-card.tsx,316,api_key.confirm_regenerate,"{t(""api_key.confirm_regenerate"")}"
Settings,src/app/(dashboard)/settings/profile/components/user-api-key-card.tsx,320,button.cancel,"<AlertDialogCancel>{t(""button.cancel"")}</AlertDialogCancel>"
Settings,src/app/(dashboard)/settings/profile/components/user-api-key-card.tsx,322,message.loading,"{isGenerating ? t(""message.loading"") : t(""button.confirm"")}"
Settings,src/app/(dashboard)/settings/profile/components/user-api-key-card.tsx,322,button.confirm,"{isGenerating ? t(""message.loading"") : t(""button.confirm"")}"
Settings,src/app/(dashboard)/settings/profile/components/user-api-key-card.tsx,332,api_key.revoke,"<AlertDialogTitle>{t(""api_key.revoke"")}</AlertDialogTitle>"
Settings,src/app/(dashboard)/settings/profile/components/user-api-key-card.tsx,334,api_key.confirm_revoke,"{t(""api_key.confirm_revoke"")}"
Settings,src/app/(dashboard)/settings/profile/components/user-api-key-card.tsx,338,button.cancel,"<AlertDialogCancel>{t(""button.cancel"")}</AlertDialogCancel>"
Settings,src/app/(dashboard)/settings/profile/components/user-api-key-card.tsx,340,button.confirm,"{t(""button.confirm"")}"
Settings,src/app/(dashboard)/settings/profile/informations-tab.tsx,89,role_group.title,"<CardTitle>{t(""role_group.title"")}</CardTitle>"
Settings,src/app/(dashboard)/settings/profile/informations-tab.tsx,92,role_group.description,"{t(""role_group.description"")}"
Settings,src/app/(dashboard)/settings/profile/informations-tab.tsx,118,role_group.role_label,"<p className=""text-sm font-medium"">{t(""role_group.role_label"")}</p>"
Settings,src/app/(dashboard)/settings/profile/informations-tab.tsx,120,role_group.role_desc,"{t(""role_group.role_desc"")}"
Settings,src/app/(dashboard)/settings/profile/informations-tab.tsx,142,role_group.group_label,"<p className=""text-sm font-medium"">{t(""role_group.group_label"")}</p>"
Settings,src/app/(dashboard)/settings/profile/informations-tab.tsx,144,role_group.group_desc,"{t(""role_group.group_desc"")}"
Settings,src/app/(dashboard)/settings/profile/informations-tab.tsx,172,permissions.title,"<CardTitle>{t(""permissions.title"")}</CardTitle>"
Settings,src/app/(dashboard)/settings/profile/informations-tab.tsx,175,permissions.description,"{t(""permissions.description"")}"
Settings,src/app/(dashboard)/settings/profile/page.tsx,15,tab,"const tab = searchParams.get(""tab"") || ""profile"""
Settings,src/app/(dashboard)/settings/profile/page.tsx,22,tabs.profile,"<span className=""hidden sm:inline"">{t(""tabs.profile"")}</span>"
Settings,src/app/(dashboard)/settings/profile/page.tsx,26,tabs.preferences,"<span className=""hidden sm:inline"">{t(""tabs.preferences"")}</span>"
Settings,src/app/(dashboard)/settings/profile/page.tsx,30,tabs.informations,"<span className=""hidden sm:inline"">{t(""tabs.informations"")}</span>"
Settings,src/app/(dashboard)/settings/profile/preferences-tab.tsx,377,a,"const a = document.createElement(""a"")"
Settings,src/app/(dashboard)/settings/profile/preferences-tab.tsx,451,items.dark_mode.light,"<SelectItem value=""light"">{t(""items.dark_mode.light"")}</SelectItem>"
Settings,src/app/(dashboard)/settings/profile/preferences-tab.tsx,452,items.dark_mode.dark,"<SelectItem value=""dark"">{t(""items.dark_mode.dark"")}</SelectItem>"
Settings,src/app/(dashboard)/settings/profile/preferences-tab.tsx,453,items.dark_mode.system,"<SelectItem value=""system"">{t(""items.dark_mode.system"")}</SelectItem>"
Settings,src/app/(dashboard)/settings/profile/preferences-tab.tsx,470,items.sidebar_collapsed.enabled,"{(value as boolean) ? t(""items.sidebar_collapsed.enabled"") : t(""items.sidebar_collapsed.disabled"")}"
Settings,src/app/(dashboard)/settings/profile/preferences-tab.tsx,470,items.sidebar_collapsed.disabled,"{(value as boolean) ? t(""items.sidebar_collapsed.enabled"") : t(""items.sidebar_collapsed.disabled"")}"
Settings,src/app/(dashboard)/settings/profile/preferences-tab.tsx,486,items.sidebar_variant.inset,"<SelectItem value=""inset"">{t(""items.sidebar_variant.inset"")}</SelectItem>"
Settings,src/app/(dashboard)/settings/profile/preferences-tab.tsx,487,items.sidebar_variant.floating,"<SelectItem value=""floating"">{t(""items.sidebar_variant.floating"")}</SelectItem>"
Settings,src/app/(dashboard)/settings/profile/preferences-tab.tsx,503,items.font_size.small,"<SelectItem value=""small"">{t(""items.font_size.small"")}</SelectItem>"
Settings,src/app/(dashboard)/settings/profile/preferences-tab.tsx,504,items.font_size.normal,"<SelectItem value=""normal"">{t(""items.font_size.normal"")}</SelectItem>"
Settings,src/app/(dashboard)/settings/profile/preferences-tab.tsx,505,items.font_size.large,"<SelectItem value=""large"">{t(""items.font_size.large"")}</SelectItem>"
Settings,src/app/(dashboard)/settings/profile/preferences-tab.tsx,576,items.time_format.12h,"<SelectItem value=""12h"">{t(""items.time_format.12h"")}</SelectItem>"
Settings,src/app/(dashboard)/settings/profile/preferences-tab.tsx,577,items.time_format.24h,"<SelectItem value=""24h"">{t(""items.time_format.24h"")}</SelectItem>"
Settings,src/app/(dashboard)/settings/profile/preferences-tab.tsx,595,items.sidebar_collapsed.enabled,"{(value as boolean) ? t(""items.sidebar_collapsed.enabled"") : t(""items.sidebar_collapsed.disabled"")}"
Settings,src/app/(dashboard)/settings/profile/preferences-tab.tsx,595,items.sidebar_collapsed.disabled,"{(value as boolean) ? t(""items.sidebar_collapsed.enabled"") : t(""items.sidebar_collapsed.disabled"")}"
Settings,src/app/(dashboard)/settings/profile/preferences-tab.tsx,612,items.sidebar_collapsed.enabled,"{(value as boolean) ? t(""items.sidebar_collapsed.enabled"") : t(""items.sidebar_collapsed.disabled"")}"
Settings,src/app/(dashboard)/settings/profile/preferences-tab.tsx,612,items.sidebar_collapsed.disabled,"{(value as boolean) ? t(""items.sidebar_collapsed.enabled"") : t(""items.sidebar_collapsed.disabled"")}"
Settings,src/app/(dashboard)/settings/profile/preferences-tab.tsx,629,items.sidebar_collapsed.enabled,"{(value as boolean) ? t(""items.sidebar_collapsed.enabled"") : t(""items.sidebar_collapsed.disabled"")}"
Settings,src/app/(dashboard)/settings/profile/preferences-tab.tsx,629,items.sidebar_collapsed.disabled,"{(value as boolean) ? t(""items.sidebar_collapsed.enabled"") : t(""items.sidebar_collapsed.disabled"")}"
Settings,src/app/(dashboard)/settings/profile/preferences-tab.tsx,699,table.category,"{t(""table.category"")}"
Settings,src/app/(dashboard)/settings/profile/preferences-tab.tsx,713,table.filter_tooltip,"title={isFiltered ? t(""table.filter_tooltip"") : t(""table.filter_by"", { category: row.original.catego"
Settings,src/app/(dashboard)/settings/profile/preferences-tab.tsx,733,table.preference,"{t(""table.preference"")}"
Settings,src/app/(dashboard)/settings/profile/preferences-tab.tsx,749,table.modified,"{t(""table.modified"")}"
Settings,src/app/(dashboard)/settings/profile/preferences-tab.tsx,767,table.description,"{t(""table.description"")}"
Settings,src/app/(dashboard)/settings/profile/preferences-tab.tsx,815,2fa.title,"{t(""2fa.title"")}"
Settings,src/app/(dashboard)/settings/profile/preferences-tab.tsx,818,2fa.description,"{t(""2fa.description"")}"
Settings,src/app/(dashboard)/settings/profile/preferences-tab.tsx,824,2fa.enabled_badge,"{t(""2fa.enabled_badge"")}"
Settings,src/app/(dashboard)/settings/profile/preferences-tab.tsx,831,2fa.loading,"<div className=""text-sm text-muted-foreground"">{t(""2fa.loading"")}</div>"
Settings,src/app/(dashboard)/settings/profile/preferences-tab.tsx,836,2fa.status,"<Label>{t(""2fa.status"")}</Label>"
Settings,src/app/(dashboard)/settings/profile/preferences-tab.tsx,839,2fa.enabled,"? t(""2fa.enabled"")"
Settings,src/app/(dashboard)/settings/profile/preferences-tab.tsx,840,2fa.disabled,": t(""2fa.disabled"")"
Settings,src/app/(dashboard)/settings/profile/preferences-tab.tsx,863,2fa.primary_method,"{t(""2fa.primary_method"")}"
Settings,src/app/(dashboard)/settings/profile/preferences-tab.tsx,867,2fa.method_totp,"? t(""2fa.method_totp"")"
Settings,src/app/(dashboard)/settings/profile/preferences-tab.tsx,868,2fa.method_sms,": t(""2fa.method_sms"")"
Settings,src/app/(dashboard)/settings/profile/preferences-tab.tsx,878,2fa.backup_codes,"{t(""2fa.backup_codes"")}"
